timestamp,sensor_name,address,roll_deg,pitch_deg,yaw_deg,cal_system,cal_gyro,cal_accel,cal_mag
2026-08-28T19:27:00.837,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:00.841,IMU-2,0x29,0.0,0.0,0.0,0,0,0,0
2026-08-28T19:27:00.937,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:00.938,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.037,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.038,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.137,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.139,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.237,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.239,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.338,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.339,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.438,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.439,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.538,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.540,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.638,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.640,IMU-2,0x29,-1.62,176.69,233.75,0,0,0,0
2026-08-28T19:27:01.739,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.741,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:01.839,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.841,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:01.939,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:01.941,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.039,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.041,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.139,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.141,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.238,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.241,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.338,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.340,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.438,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.441,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.538,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.541,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.638,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.641,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.738,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.742,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.838,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.840,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:02.938,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:02.940,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:03.038,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:03.039,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:03.138,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:03.139,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:03.238,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:03.239,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:03.338,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:03.339,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:03.438,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
2026-08-28T19:27:03.440,IMU-2,0x29,-1.62,176.69,233.75,0,3,0,0
2026-08-28T19:27:03.538,IMU-1,0x28,-1.19,-178.94,80.19,0,3,0,0
